filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
img_1.jpg,10098,"{}",1,0,"{""name"":""rect"",""x"":108,""y"":57,""width"":57,""height"":81}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_2.jpg,8457,"{}",2,0,"{""name"":""rect"",""x"":14,""y"":131,""width"":71,""height"":119}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_2.jpg,8457,"{}",2,1,"{""name"":""rect"",""x"":21,""y"":5,""width"":156,""height"":240}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_3.jpg,10849,"{}",1,0,"{""name"":""rect"",""x"":72,""y"":7,""width"":126,""height"":159}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_4.jpg,11178,"{}",1,0,"{""name"":""rect"",""x"":5,""y"":4,""width"":205,""height"":208}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_8.jpg,12763,"{}",1,0,"{""name"":""rect"",""x"":79,""y"":19,""width"":107,""height"":167}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_9.jpg,12326,"{}",1,0,"{""name"":""rect"",""x"":40,""y"":5,""width"":131,""height"":232}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_10.jpg,13617,"{}",1,0,"{""name"":""rect"",""x"":94,""y"":40,""width"":84,""height"":133}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_11.jpg,569987,"{}",1,0,"{""name"":""rect"",""x"":321,""y"":129,""width"":687,""height"":720}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_12.jpg,10556,"{}",1,0,"{""name"":""rect"",""x"":113,""y"":4,""width"":78,""height"":172}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_14.jpg,10313,"{}",2,0,"{""name"":""rect"",""x"":2,""y"":110,""width"":76,""height"":154}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_14.jpg,10313,"{}",2,1,"{""name"":""rect"",""x"":34,""y"":4,""width"":145,""height"":239}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_16.jpg,8239,"{}",1,0,"{""name"":""rect"",""x"":3,""y"":5,""width"":178,""height"":243}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_18.jpg,7581,"{}",1,0,"{""name"":""rect"",""x"":60,""y"":17,""width"":146,""height"":162}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_20.jpg,9115,"{}",1,0,"{""name"":""rect"",""x"":32,""y"":15,""width"":172,""height"":102}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_21.jpg,11700,"{}",1,0,"{""name"":""rect"",""x"":4,""y"":47,""width"":245,""height"":141}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
img_22.jpg,13246,"{}",5,0,"{""name"":""rect"",""x"":59,""y"":10,""width"":64,""height"":77}","{""Object"":""mushroom"",""Species"":""Amanita Vaginata""}"
