filename;region_count;region_id;region_shape_attributes;region_attributes
boletus_edulis_2.jpg;1;0;"{""name"":""rect"",""x"":59,""y"":22,""width"":488,""height"":448}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_3.jpg;4;0;"{""name"":""rect"",""x"":29,""y"":40,""width"":85,""height"":108}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_3.jpg;4;1;"{""name"":""rect"",""x"":84,""y"":95,""width"":56,""height"":66}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_3.jpg;4;2;"{""name"":""rect"",""x"":156,""y"":34,""width"":98,""height"":118}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_3.jpg;4;3;"{""name"":""rect"",""x"":111,""y"":66,""width"":78,""height"":79}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_5.jpg;1;0;"{""name"":""rect"",""x"":77,""y"":52,""width"":70,""height"":77}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_8.jpg;1;0;"{""name"":""rect"",""x"":77,""y"":2,""width"":173,""height"":158}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_9.jpg;1;0;"{""name"":""rect"",""x"":2,""y"":24,""width"":167,""height"":221}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_11.jpg;1;0;"{""name"":""rect"",""x"":110,""y"":16,""width"":101,""height"":68}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_14.jpg;1;0;"{""name"":""rect"",""x"":49,""y"":20,""width"":129,""height"":141}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_17.jpg;2;0;"{""name"":""rect"",""x"":28,""y"":103,""width"":368,""height"":344}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_17.jpg;2;1;"{""name"":""rect"",""x"":349,""y"":28,""width"":440,""height"":410}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_19.jpg;1;0;"{""name"":""rect"",""x"":3,""y"":9,""width"":92,""height"":86}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_21.jpg;4;0;"{""name"":""rect"",""x"":97,""y"":198,""width"":222,""height"":237}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_21.jpg;4;1;"{""name"":""rect"",""x"":301,""y"":176,""width"":230,""height"":288}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_21.jpg;4;2;"{""name"":""rect"",""x"":527,""y"":150,""width"":168,""height"":257}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_21.jpg;4;3;"{""name"":""rect"",""x"":202,""y"":106,""width"":197,""height"":173}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_23.jpg;6;0;"{""name"":""rect"",""x"":32,""y"":277,""width"":161,""height"":133}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_23.jpg;6;1;"{""name"":""rect"",""x"":170,""y"":375,""width"":160,""height"":138}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_23.jpg;6;2;"{""name"":""rect"",""x"":365,""y"":182,""width"":161,""height"":161}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_23.jpg;6;3;"{""name"":""rect"",""x"":551,""y"":238,""width"":201,""height"":205}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_23.jpg;6;4;"{""name"":""rect"",""x"":152,""y"":153,""width"":217,""height"":218}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_23.jpg;6;5;"{""name"":""rect"",""x"":464,""y"":37,""width"":217,""height"":150}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_24.jpg;1;0;"{""name"":""rect"",""x"":55,""y"":73,""width"":75,""height"":68}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_25.jpg;1;0;"{""name"":""rect"",""x"":15,""y"":11,""width"":208,""height"":197}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_27.jpg;2;0;"{""name"":""rect"",""x"":27,""y"":64,""width"":137,""height"":110}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_27.jpg;2;1;"{""name"":""rect"",""x"":100,""y"":12,""width"":147,""height"":136}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_28.jpg;2;0;"{""name"":""rect"",""x"":10,""y"":12,""width"":153,""height"":173}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_28.jpg;2;1;"{""name"":""rect"",""x"":133,""y"":5,""width"":127,""height"":178}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
boletus_edulis_29.jpg;1;0;"{""name"":""rect"",""x"":68,""y"":30,""width"":158,""height"":136}";"{""Object"":""mushroom"",""Species"":""Boletus Edulis""}"
